Order_ID,Order_Date,Customer_ID,Age,Gender,State,Product_Name,Category,Quantity,Unit_Price,Revenue,Payment_Method,Channel,Customer_Type,Year,Month,Month_Name,Quarter
ORD00049,2025-10-20,CUST3489,49,Male,Rajasthan,Hair Serum,Hair Care,2,699,1398,UPI,Website,New,2025,10,October,4
ORD00050,2025-05-11,CUST7303,44,Female,Rajasthan,Immunity Booster,Immunity,2,649,1298,COD,Amazon,Repeat,2025,5,May,2
ORD00051,2025-11-21,CUST6732,29,Male,Delhi,Hair Oil,Hair Care,1,499,499,UPI,Amazon,New,2025,11,November,4
ORD00052,2024-01-12,CUST6726,19,Male,Karnataka,Weight Control Capsules,Weight Management,5,1199,5995,Credit Card,Flipkart,New,2024,1,January,1
ORD00053,2025-08-24,CUST1417,58,Male,Uttar Pradesh,Hair Serum,Hair Care,5,699,3495,Credit Card,Website,New,2025,8,August,3
ORD00054,2025-01-10,CUST8587,42,Male,Punjab,Hair Capsules,Hair Care,5,899,4495,COD,Amazon,Repeat,2025,1,January,1
ORD00055,2024-04-08,CUST5079,53,Female,Delhi,Hair Capsules,Hair Care,1,899,899,Debit Card,Flipkart,Repeat,2024,4,April,2
ORD00056,2025-01-03,CUST4766,30,Male,Punjab,Weight Control Capsules,Weight Management,4,1199,4796,Debit Card,Website,New,2025,1,January,1
ORD00057,2025-12-29,CUST2365,30,Male,Karnataka,Hair Oil,Hair Care,4,499,1996,UPI,Website,Repeat,2025,12,December,4
ORD00058,2025-03-30,CUST1717,48,Female,Uttar Pradesh,Detox Tea,Detox,1,599,599,Debit Card,Amazon,Repeat,2025,3,March,1
ORD00059,2024-04-08,CUST5491,42,Female,Bihar,Weight Control Capsules,Weight Management,5,1199,5995,COD,Website,Repeat,2024,4,April,2
ORD00060,2025-11-23,CUST6161,56,Female,Haryana,Hair Oil,Hair Care,5,499,2495,UPI,Flipkart,Repeat,2025,11,November,4
ORD00061,2025-10-19,CUST5846,29,Male,Haryana,Hair Capsules,Hair Care,3,899,2697,Credit Card,Website,New,2025,10,October,4
ORD00062,2024-06-16,CUST7313,26,Female,Haryana,Immunity Booster,Immunity,5,649,3245,Credit Card,Website,Repeat,2024,6,June,2
ORD00063,2025-10-09,CUST2365,34,Male,Gujarat,Skin Glow Tablets,Beauty,3,799,2397,UPI,Website,Repeat,2025,10,October,4
ORD00064,2025-02-18,CUST2810,56,Male,Haryana,Skin Glow Tablets,Beauty,4,799,3196,Credit Card,Flipkart,New,2025,2,February,1
ORD00065,2025-10-14,CUST5849,45,Female,Haryana,Hair Capsules,Hair Care,5,899,4495,COD,Website,Repeat,2025,10,October,4
ORD00066,2025-01-21,CUST1504,42,Female,Delhi,Immunity Booster,Immunity,1,649,649,Credit Card,Website,Repeat,2025,1,January,1
ORD00067,2025-11-02,CUST7316,38,Female,West Bengal,Detox Tea,Detox,5,599,2995,UPI,Flipkart,Repeat,2025,11,November,4
ORD00068,2025-10-20,CUST7190,58,Male,Delhi,Detox Tea,Detox,3,599,1797,UPI,Amazon,Repeat,2025,10,October,4
ORD00069,2024-01-12,CUST2353,49,Female,Rajasthan,Immunity Booster,Immunity,1,649,649,Credit Card,Website,New,2024,1,January,1
ORD00070,2024-03-30,CUST4719,45,Female,Bihar,Detox Tea,Detox,4,599,2396,UPI,Flipkart,Repeat,2024,3,March,1
ORD00071,2025-12-24,CUST3779,46,Male,Karnataka,Hair Oil,Hair Care,1,499,499,UPI,Amazon,Repeat,2025,12,December,4
ORD00072,2025-03-25,CUST1009,47,Female,Bihar,Weight Control Capsules,Weight Management,1,1199,1199,Debit Card,Website,Repeat,2025,3,March,1
ORD00073,2024-10-08,CUST5158,42,Female,Delhi,Hair Serum,Hair Care,1,699,699,UPI,Website,Repeat,2024,10,October,4
ORD00074,2025-02-08,CUST9175,23,Female,Delhi,Hair Capsules,Hair Care,1,899,899,UPI,Flipkart,Repeat,2025,2,February,1
ORD00075,2024-01-23,CUST8140,54,Female,Haryana,Hair Capsules,Hair Care,5,899,4495,Debit Card,Website,New,2024,1,January,1
ORD00076,2024-02-20,CUST5780,30,Female,Delhi,Hair Oil,Hair Care,1,499,499,UPI,Amazon,New,2024,2,February,1
ORD00077,2024-09-06,CUST9865,20,Male,Maharashtra,Immunity Booster,Immunity,2,649,1298,COD,Website,Repeat,2024,9,September,3
ORD00078,2025-02-04,CUST5719,40,Male,Bihar,Weight Control Capsules,Weight Management,3,1199,3597,UPI,Amazon,Repeat,2025,2,February,1
ORD00079,2024-11-01,CUST7241,35,Female,Karnataka,Hair Capsules,Hair Care,4,899,3596,Debit Card,Amazon,New,2024,11,November,4
ORD00080,2024-11-30,CUST6115,47,Male,Haryana,Skin Glow Tablets,Beauty,1,799,799,Debit Card,Website,Repeat,2024,11,November,4
ORD00081,2024-07-02,CUST4472,27,Male,Uttar Pradesh,Detox Tea,Detox,2,599,1198,COD,Website,Repeat,2024,7,July,3
ORD00082,2024-07-23,CUST7269,28,Male,Punjab,Weight Control Capsules,Weight Management,2,1199,2398,Debit Card,Flipkart,Repeat,2024,7,July,3
ORD00083,2024-12-25,CUST9472,20,Female,Karnataka,Hair Capsules,Hair Care,4,899,3596,Debit Card,Website,Repeat,2024,12,December,4
ORD00084,2024-02-20,CUST8570,38,Male,Maharashtra,Weight Control Capsules,Weight Management,2,1199,2398,COD,Amazon,New,2024,2,February,1
ORD00085,2025-10-06,CUST7376,29,Female,Maharashtra,Weight Control Capsules,Weight Management,1,1199,1199,UPI,Amazon,New,2025,10,October,4
ORD00086,2024-09-05,CUST7190,39,Male,Rajasthan,Hair Capsules,Hair Care,1,899,899,Credit Card,Flipkart,Repeat,2024,9,September,3
ORD00087,2024-01-26,CUST2276,32,Male,Rajasthan,Weight Control Capsules,Weight Management,1,1199,1199,Credit Card,Amazon,Repeat,2024,1,January,1
ORD00088,2024-12-30,CUST7809,31,Male,Rajasthan,Immunity Booster,Immunity,2,649,1298,Debit Card,Flipkart,Repeat,2024,12,December,4
ORD00089,2025-05-22,CUST9172,35,Female,West Bengal,Immunity Booster,Immunity,3,649,1947,Debit Card,Flipkart,New,2025,5,May,2
ORD00090,2024-01-28,CUST9905,56,Male,Delhi,Hair Oil,Hair Care,5,499,2495,Debit Card,Amazon,New,2024,1,January,1
ORD00091,2024-05-24,CUST4596,37,Male,Uttar Pradesh,Detox Tea,Detox,1,599,599,Credit Card,Flipkart,Repeat,2024,5,May,2
ORD00092,2024-04-20,CUST8943,57,Male,Karnataka,Hair Serum,Hair Care,4,699,2796,Credit Card,Website,New,2024,4,April,2
ORD00093,2024-11-15,CUST2761,23,Male,Punjab,Detox Tea,Detox,2,599,1198,UPI,Website,New,2024,11,November,4
ORD00094,2024-12-15,CUST7986,47,Male,Rajasthan,Skin Glow Tablets,Beauty,4,799,3196,Debit Card,Website,New,2024,12,December,4
ORD00095,2025-07-01,CUST6342,23,Female,Uttar Pradesh,Hair Capsules,Hair Care,5,899,4495,COD,Flipkart,Repeat,2025,7,July,3
ORD00096,2025-08-28,CUST3551,55,Male,Punjab,Skin Glow Tablets,Beauty,1,799,799,Credit Card,Flipkart,Repeat,2025,8,August,3
ORD00097,2024-06-21,CUST7469,43,Female,Uttar Pradesh,Hair Serum,Hair Care,3,699,2097,Debit Card,Website,Repeat,2024,6,June,2
ORD00098,2024-03-30,CUST2828,28,Male,Uttar Pradesh,Detox Tea,Detox,1,599,599,UPI,Flipkart,Repeat,2024,3,March,1
ORD00099,2024-01-10,CUST1260,40,Female,Maharashtra,Skin Glow Tablets,Beauty,2,799,1598,UPI,Amazon,New,2024,1,January,1
ORD00100,2024-11-24,CUST3832,26,Male,Rajasthan,Immunity Booster,Immunity,5,649,3245,Credit Card,Flipkart,Repeat,2024,11,November,4
ORD00101,2025-08-03,CUST1235,31,Male,Rajasthan,Immunity Booster,Immunity,1,649,649,Debit Card,Website,New,2025,8,August,3
ORD00102,2025-05-27,CUST6415,39,Female,Rajasthan,Hair Capsules,Hair Care,3,899,2697,Debit Card,Website,Repeat,2025,5,May,2
ORD00103,2025-12-25,CUST3898,31,Female,Uttar Pradesh,Detox Tea,Detox,3,599,1797,UPI,Website,Repeat,2025,12,December,4
ORD00104,2025-09-28,CUST7565,50,Male,Delhi,Hair Serum,Hair Care,3,699,2097,UPI,Website,Repeat,2025,9,September,3
ORD00105,2025-09-07,CUST5018,56,Male,West Bengal,Immunity Booster,Immunity,2,649,1298,Credit Card,Flipkart,Repeat,2025,9,September,3
ORD00106,2024-01-15,CUST6742,46,Male,Uttar Pradesh,Hair Serum,Hair Care,4,699,2796,Credit Card,Flipkart,Repeat,2024,1,January,1
ORD00107,2024-04-06,CUST1950,50,Female,Uttar Pradesh,Weight Control Capsules,Weight Management,1,1199,1199,Credit Card,Amazon,Repeat,2024,4,April,2
ORD00108,2024-04-27,CUST7028,48,Male,Uttar Pradesh,Hair Capsules,Hair Care,2,899,1798,UPI,Flipkart,Repeat,2024,4,April,2
ORD00109,2024-02-16,CUST3371,29,Male,Maharashtra,Weight Control Capsules,Weight Management,5,1199,5995,Debit Card,Flipkart,Repeat,2024,2,February,1
ORD00110,2024-10-09,CUST3116,37,Male,Haryana,Detox Tea,Detox,4,599,2396,COD,Amazon,New,2024,10,October,4
ORD00111,2024-10-28,CUST9554,29,Female,Rajasthan,Immunity Booster,Immunity,2,649,1298,Credit Card,Amazon,Repeat,2024,10,October,4
ORD00112,2025-11-13,CUST4531,53,Female,Uttar Pradesh,Immunity Booster,Immunity,4,649,2596,UPI,Website,Repeat,2025,11,November,4
ORD00113,2025-08-26,CUST7024,46,Female,Rajasthan,Hair Serum,Hair Care,1,699,699,UPI,Amazon,Repeat,2025,8,August,3
ORD00114,2025-02-08,CUST4417,53,Female,Gujarat,Hair Oil,Hair Care,5,499,2495,UPI,Website,Repeat,2025,2,February,1
ORD00115,2025-10-22,CUST8112,26,Female,Uttar Pradesh,Immunity Booster,Immunity,3,649,1947,UPI,Website,Repeat,2025,10,October,4
ORD00116,2025-06-20,CUST2625,28,Female,Maharashtra,Hair Capsules,Hair Care,4,899,3596,Debit Card,Amazon,Repeat,2025,6,June,2
ORD00117,2025-10-01,CUST5971,41,Male,Gujarat,Hair Capsules,Hair Care,1,899,899,COD,Amazon,New,2025,10,October,4
ORD00118,2024-10-11,CUST5757,43,Female,Maharashtra,Hair Oil,Hair Care,1,499,499,UPI,Website,New,2024,10,October,4
ORD00119,2025-11-19,CUST5243,39,Female,Rajasthan,Detox Tea,Detox,1,599,599,UPI,Flipkart,Repeat,2025,11,November,4
ORD00120,2025-12-23,CUST3079,47,Male,Delhi,Weight Control Capsules,Weight Management,3,1199,3597,UPI,Website,Repeat,2025,12,December,4
ORD00121,2025-08-12,CUST6490,19,Female,Delhi,Hair Capsules,Hair Care,2,899,1798,Credit Card,Amazon,Repeat,2025,8,August,3
ORD00122,2024-09-20,CUST9038,20,Female,Haryana,Immunity Booster,Immunity,4,649,2596,Credit Card,Flipkart,Repeat,2024,9,September,3
ORD00123,2024-03-27,CUST1054,45,Female,Maharashtra,Detox Tea,Detox,1,599,599,Debit Card,Website,Repeat,2024,3,March,1
ORD00124,2025-03-18,CUST9519,54,Male,Karnataka,Hair Oil,Hair Care,3,499,1497,UPI,Flipkart,Repeat,2025,3,March,1
ORD00125,2025-03-27,CUST6619,54,Female,Bihar,Hair Capsules,Hair Care,3,899,2697,Credit Card,Flipkart,New,2025,3,March,1
ORD00126,2025-11-03,CUST3198,38,Male,Karnataka,Hair Serum,Hair Care,2,699,1398,COD,Website,Repeat,2025,11,November,4
ORD00127,2025-12-09,CUST7035,28,Female,Maharashtra,Hair Serum,Hair Care,1,699,699,Debit Card,Flipkart,New,2025,12,December,4
ORD00128,2024-09-12,CUST8083,52,Female,Haryana,Detox Tea,Detox,5,599,2995,Credit Card,Website,Repeat,2024,9,September,3
ORD00129,2024-04-24,CUST3573,26,Female,Maharashtra,Hair Capsules,Hair Care,1,899,899,UPI,Website,New,2024,4,April,2
ORD00130,2025-05-08,CUST3051,43,Female,Maharashtra,Skin Glow Tablets,Beauty,3,799,2397,Debit Card,Website,New,2025,5,May,2
ORD00131,2024-02-11,CUST6475,58,Female,Maharashtra,Hair Serum,Hair Care,5,699,3495,UPI,Website,Repeat,2024,2,February,1
ORD00132,2025-08-21,CUST9041,39,Male,Punjab,Hair Serum,Hair Care,4,699,2796,Debit Card,Amazon,Repeat,2025,8,August,3
ORD00133,2025-03-30,CUST3969,38,Female,Haryana,Hair Serum,Hair Care,4,699,2796,Credit Card,Amazon,New,2025,3,March,1
ORD00134,2025-11-23,CUST6490,43,Male,Bihar,Hair Capsules,Hair Care,1,899,899,Debit Card,Flipkart,New,2025,11,November,4
ORD00135,2024-08-14,CUST2333,51,Male,Rajasthan,Hair Oil,Hair Care,3,499,1497,Credit Card,Amazon,Repeat,2024,8,August,3
ORD00136,2025-07-01,CUST9942,37,Male,Karnataka,Hair Oil,Hair Care,2,499,998,COD,Flipkart,Repeat,2025,7,July,3
ORD00137,2025-04-26,CUST1153,19,Male,Punjab,Hair Capsules,Hair Care,5,899,4495,UPI,Website,Repeat,2025,4,April,2
ORD00138,2025-09-07,CUST7185,42,Male,Karnataka,Weight Control Capsules,Weight Management,3,1199,3597,Debit Card,Amazon,Repeat,2025,9,September,3
ORD00139,2025-04-22,CUST5197,51,Female,Karnataka,Detox Tea,Detox,3,599,1797,UPI,Flipkart,Repeat,2025,4,April,2
ORD00140,2024-11-25,CUST4640,29,Female,Rajasthan,Weight Control Capsules,Weight Management,1,1199,1199,Debit Card,Flipkart,Repeat,2024,11,November,4
ORD00141,2025-01-08,CUST8119,23,Female,Punjab,Immunity Booster,Immunity,5,649,3245,Credit Card,Website,Repeat,2025,1,January,1
ORD00142,2025-05-03,CUST9044,43,Male,Haryana,Hair Capsules,Hair Care,2,899,1798,COD,Flipkart,Repeat,2025,5,May,2
ORD00143,2024-03-26,CUST1390,31,Male,Bihar,Hair Serum,Hair Care,5,699,3495,Debit Card,Website,New,2024,3,March,1
ORD00144,2025-12-27,CUST2500,35,Male,Uttar Pradesh,Hair Serum,Hair Care,3,699,2097,Debit Card,Flipkart,New,2025,12,December,4
ORD00145,2025-06-09,CUST4223,52,Female,Maharashtra,Hair Serum,Hair Care,1,699,699,Debit Card,Website,Repeat,2025,6,June,2
ORD00146,2024-02-08,CUST8694,21,Male,West Bengal,Hair Serum,Hair Care,4,699,2796,UPI,Website,Repeat,2024,2,February,1
ORD00147,2024-04-17,CUST9502,52,Female,Maharashtra,Weight Control Capsules,Weight Management,2,1199,2398,Credit Card,Flipkart,Repeat,2024,4,April,2
ORD00148,2025-02-19,CUST4810,56,Female,Uttar Pradesh,Weight Control Capsules,Weight Management,2,1199,2398,UPI,Amazon,New,2025,2,February,1
ORD00149,2025-11-27,CUST1271,27,Female,Punjab,Skin Glow Tablets,Beauty,5,799,3995,Debit Card,Flipkart,Repeat,2025,11,November,4
ORD00150,2024-01-03,CUST2165,47,Female,Uttar Pradesh,Hair Oil,Hair Care,1,499,499,Credit Card,Amazon,Repeat,2024,1,January,1
ORD00151,2025-08-07,CUST5494,41,Female,Haryana,Hair Oil,Hair Care,5,499,2495,UPI,Website,New,2025,8,August,3
ORD00152,2024-03-02,CUST2868,51,Male,Gujarat,Detox Tea,Detox,3,599,1797,COD,Flipkart,Repeat,2024,3,March,1
ORD00153,2024-08-30,CUST4564,27,Male,Maharashtra,Weight Control Capsules,Weight Management,5,1199,5995,UPI,Amazon,New,2024,8,August,3
ORD00154,2025-05-31,CUST2796,40,Male,Punjab,Hair Serum,Hair Care,3,699,2097,Debit Card,Amazon,Repeat,2025,5,May,2
ORD00155,2025-02-22,CUST8312,41,Male,Karnataka,Hair Capsules,Hair Care,2,899,1798,Credit Card,Website,New,2025,2,February,1
ORD00156,2024-11-24,CUST5675,31,Male,Maharashtra,Immunity Booster,Immunity,1,649,649,Debit Card,Website,New,2024,11,November,4
ORD00157,2025-06-24,CUST2218,42,Female,Haryana,Hair Capsules,Hair Care,4,899,3596,UPI,Flipkart,Repeat,2025,6,June,2
ORD00158,2024-08-13,CUST8291,32,Female,Rajasthan,Weight Control Capsules,Weight Management,3,1199,3597,Debit Card,Website,New,2024,8,August,3
ORD00159,2024-11-11,CUST4020,45,Male,Delhi,Hair Serum,Hair Care,5,699,3495,Credit Card,Website,Repeat,2024,11,November,4
ORD00160,2025-11-28,CUST2591,57,Female,Rajasthan,Weight Control Capsules,Weight Management,3,1199,3597,Debit Card,Website,New,2025,11,November,4
ORD00161,2024-12-01,CUST4239,45,Male,Punjab,Skin Glow Tablets,Beauty,3,799,2397,UPI,Flipkart,New,2024,12,December,4
ORD00162,2024-12-21,CUST5286,44,Female,Gujarat,Weight Control Capsules,Weight Management,2,1199,2398,UPI,Flipkart,Repeat,2024,12,December,4
ORD00163,2024-01-31,CUST8561,49,Male,Bihar,Hair Oil,Hair Care,3,499,1497,Credit Card,Flipkart,New,2024,1,January,1
ORD00164,2025-12-18,CUST9780,46,Female,Gujarat,Detox Tea,Detox,2,599,1198,Credit Card,Website,Repeat,2025,12,December,4
ORD00165,2024-01-17,CUST8009,41,Male,Karnataka,Hair Oil,Hair Care,1,499,499,COD,Amazon,New,2024,1,January,1
ORD00166,2024-08-20,CUST2435,32,Female,Bihar,Immunity Booster,Immunity,2,649,1298,UPI,Amazon,Repeat,2024,8,August,3
ORD00167,2024-11-19,CUST2040,29,Female,Delhi,Detox Tea,Detox,2,599,1198,Credit Card,Amazon,New,2024,11,November,4
ORD00168,2024-07-28,CUST3353,31,Female,Uttar Pradesh,Hair Serum,Hair Care,3,699,2097,Debit Card,Flipkart,Repeat,2024,7,July,3
ORD00169,2024-02-02,CUST8813,32,Female,Karnataka,Detox Tea,Detox,5,599,2995,Debit Card,Amazon,New,2024,2,February,1
ORD00170,2024-10-11,CUST9707,34,Male,Punjab,Hair Serum,Hair Care,2,699,1398,Debit Card,Flipkart,Repeat,2024,10,October,4
ORD00171,2024-05-09,CUST4155,39,Male,Karnataka,Weight Control Capsules,Weight Management,3,1199,3597,UPI,Amazon,New,2024,5,May,2
ORD00172,2024-01-21,CUST7446,33,Male,Uttar Pradesh,Detox Tea,Detox,5,599,2995,Credit Card,Flipkart,New,2024,1,January,1
ORD00173,2024-09-13,CUST1933,32,Female,Karnataka,Hair Capsules,Hair Care,3,899,2697,COD,Website,Repeat,2024,9,September,3
ORD00174,2024-09-27,CUST7635,33,Male,Rajasthan,Detox Tea,Detox,2,599,1198,COD,Amazon,New,2024,9,September,3
ORD00175,2025-06-03,CUST9782,44,Female,Maharashtra,Weight Control Capsules,Weight Management,5,1199,5995,COD,Flipkart,Repeat,2025,6,June,2
ORD00176,2025-06-19,CUST5473,20,Female,Punjab,Detox Tea,Detox,5,599,2995,Credit Card,Amazon,Repeat,2025,6,June,2
ORD00177,2025-06-04,CUST6797,39,Female,Bihar,Skin Glow Tablets,Beauty,4,799,3196,UPI,Amazon,Repeat,2025,6,June,2
ORD00178,2025-12-21,CUST5167,38,Female,Maharashtra,Hair Capsules,Hair Care,5,899,4495,Credit Card,Flipkart,Repeat,2025,12,December,4
ORD00179,2025-12-29,CUST3043,55,Male,Rajasthan,Hair Capsules,Hair Care,5,899,4495,Debit Card,Amazon,Repeat,2025,12,December,4
ORD00180,2025-08-10,CUST4117,49,Male,West Bengal,Hair Oil,Hair Care,1,499,499,Credit Card,Website,Repeat,2025,8,August,3
ORD00181,2024-01-02,CUST7368,50,Male,Delhi,Hair Serum,Hair Care,4,699,2796,UPI,Amazon,New,2024,1,January,1
ORD00182,2025-11-16,CUST4041,59,Male,Delhi,Hair Serum,Hair Care,2,699,1398,COD,Flipkart,New,2025,11,November,4
ORD00183,2024-03-13,CUST1552,29,Female,Rajasthan,Hair Capsules,Hair Care,1,899,899,Credit Card,Amazon,Repeat,2024,3,March,1
ORD00184,2025-01-17,CUST1458,37,Female,Uttar Pradesh,Immunity Booster,Immunity,3,649,1947,Credit Card,Amazon,Repeat,2025,1,January,1
ORD00185,2024-05-06,CUST5904,59,Female,Maharashtra,Immunity Booster,Immunity,3,649,1947,Credit Card,Flipkart,Repeat,2024,5,May,2
ORD00186,2024-08-30,CUST4638,53,Male,Rajasthan,Hair Oil,Hair Care,5,499,2495,UPI,Flipkart,Repeat,2024,8,August,3
ORD00187,2025-08-16,CUST8057,36,Female,Bihar,Hair Capsules,Hair Care,4,899,3596,COD,Website,Repeat,2025,8,August,3
ORD00188,2024-02-04,CUST7236,32,Male,Gujarat,Detox Tea,Detox,2,599,1198,COD,Website,Repeat,2024,2,February,1
